TimeStamp,Open,Close,High,Low,Volume
12 November 2020,15699.55363,16283.56094,16283.56094,15699.55363,30558338400
11 November 2020,15565.35064,15723.90082,15723.90082,15565.35064,24997093613
10 November 2020,15446.65918,15334.59516,15446.65918,15334.59516,24262641276
09 November 2020,15330.83347,15353.11618,15513.78667,15100.96418,30818658913
08 November 2020,15227.55231,15463.43917,15463.43917,15227.55231,27149284906
07 November 2020,15289.82823,14843.0628,15289.82823,14745.54658,32019226499
06 November 2020,16298.20974,15662.86,16298.20974,15662.86,38990156189
05 November 2020,14403.1354,15515.79155,15515.79155,14403.1354,39891455895
04 November 2020,14273.21053,14212.06071,14273.21053,14073.35645,27224505358
03 November 2020,13637.82178,13992.53132,13992.53132,13637.82178,24095781375
02 November 2020,13569.12602,13559.59723,13569.12602,13457.16825,23079138165
01 November 2020,14029.93852,13824.01624,14029.93852,13824.01624,20096684374
31 October 2020,13642.05684,13797.63936,13838.09165,13642.05684,22966324814
30 October 2020,13338.61433,13576.46161,13576.46161,13338.61433,27031601719
29 October 2020,13267.1171,13463.50521,13463.50521,13247.39317,23952787254
28 October 2020,13426.99992,13291.04036,13483.09361,13175.06376,27311777383
27 October 2020,13204.85128,13651.87903,13651.87903,13204.85128,25835075025
26 October 2020,12808.28119,13068.49683,13068.49683,12808.28119,21422160110
25 October 2020,12997.43756,13027.84165,13048.92867,12986.27404,19288444379
24 October 2020,12980.18115,13110.93236,13110.93236,12980.18115,18832508379
23 October 2020,12890.40328,12917.17858,12917.17858,12859.42973,21424265074
22 October 2020,13175.73816,12979.44686,13175.73816,12979.44686,27037045652
21 October 2020,12222.12004,12788.12141,12934.24159,12222.12004,33077094891
20 October 2020,11557.54165,11909.39189,11909.39189,11557.54165,23697416879
19 October 2020,11539.26501,11747.71759,11747.71759,11539.26501,17933857540
18 October 2020,11596.31451,11525.70516,11614.58583,11525.70516,14164980980
17 October 2020,11388.75632,11371.06056,11401.01863,11371.06056,14602442358
16 October 2020,11271.16617,11322.77504,11322.77504,11271.16617,20520084843
15 October 2020,11413.87075,11512.81432,11512.81432,11413.87075,20225045846
14 October 2020,11396.50673,11431.78512,11431.78512,11396.50673,20353071825
13 October 2020,11460.46131,11449.94439,11460.46131,11449.94439,20553540146
12 October 2020,11589.45915,11549.89724,11589.45915,11549.89724,21355364868
11 October 2020,11381.31564,11384.73082,11409.48357,11381.31564,15351849954
10 October 2020,11162.00182,11299.26481,11299.26481,11162.00182,18917523092
09 October 2020,11199.49693,11060.3666,11199.49693,11060.3666,18750077406
08 October 2020,10827.01969,10934.14116,10934.14116,10827.01969,19350693482
07 October 2020,10609.04609,10675.85357,10736.08128,10609.04609,15980361907
06 October 2020,10569.31355,10608.96305,10620.11501,10569.31355,17956199678
05 October 2020,10704.94432,10789.32257,10789.32257,10704.94432,16036995473
04 October 2020,10689.68514,10689.78776,10730.43752,10689.68514,14252211088
03 October 2020,10594.2667,10555.94377,10596.41751,10555.94377,13918176520
02 October 2020,10492.05008,10584.90883,10587.98716,10492.05008,20831231747
